;;;;
BOM WURZEPUMPE 2kW;;;;
;;;;
;;;;
;;;;
;;;;
Reference; Value;Description;Datasheet;Quantity
R1,R3,R4,R5,R8,R9,R21,R26;10k;Resistor, SMD 0805, 5%;;8
R14-17;180R;Resistor, SMD 0805, 5%;;4
R18;150R;Resistor, SMD 0805, 5%;;1
R23;39R\1W;Resistor, THT 1W, 5%;;1
R11,R12,R13;240R;Resistor, SMD 0805, 5%;;3
R19,R20,R25;1k;Resistor, SMD 0805, 5%;;3
R10;0R;Resistor, SMD 0805, 5%;;1
R6,R7,R22;100R;Resistor, SMD 0805, 5%;;3
R24;23G221;Varistor,220V, THT disk 23mm, pitch 7.5mm;http://shop.cpu.com.tw/product/1128/info/;1
R2;9G220;Varistor,22V, THT disk 9mm, pitch 5mm;http://shop.cpu.com.tw/product/1103/info/;1
C6;4n7\600V;Capacitor foil, X2, THT pitch 10mm, ;http://shop.cpu.com.tw/product/8162/info/;1
C4;100nF;Capacitor, SMD 0805;;1
C3;680uF\6.3V;Capacitor ELKO, ;http://shop.cpu.com.tw/product/32020/info/;1
C2,C5;330uF\16V;Capacitor Polymere, THT 10x12 ;http://shop.cpu.com.tw/product/13638/info/;2
C1;1uF;Capacitor, SMD 0805;;1
L1;120uH;Inductor,120?H 3A,THT ?16x15mm;http://shop.cpu.com.tw/product/1326/info/;1
D3,D4;LED 3mm yellow;Led yellow, 20mA 2V, THT ;;2
D5,D6;FR154;Diode fast, 1.5A 400V, THT DO15;http://shop.cpu.com.tw/product/6907/info/;2
D1,D2;SS34;Diode schottky, 3A 40V,SMD SMA;http://shop.cpu.com.tw/product/51664/info/;2
U2;BTA330Y-800CT;Thyristor, 30A 800V, THT TO220;;1
IC2;PC817;Photocoupler, THT DIP4;http://shop.cpu.com.tw/product/23872/info/;1
T1;P5506BDG;Transistor Mosfet N channel, 60V 10A, SMD TO252;;1
T2;2N2222;Transistor NPN, 30V 0.8A, THT TO92;http://shop.cpu.com.tw/product/29248/info/;1
U1;MOC3061;Photocoupler thyristor, THT DIP6;http://shop.cpu.com.tw/product/17670/info/;1
IC1;LM2576-5.0V;Switching regulator 3A,SMD TO263-5;http://shop.cpu.com.tw/product/51831/info/;1
LCD1;LCD20X4;LCD text 20x4, THT;http://shop.cpu.com.tw/product/42395/info/;1
X1;2.54;Connector 3pin 3A 180D terminal, THT 2,54;http://shop.cpu.com.tw/product/14342/info/;1
X2;2.54;Connector Female 180D 6pin, THT 2,54;http://shop.cpu.com.tw/product/25868/info/;1
X3;ARDUINO_NANO;Connector Female 180D 15pin, THT 2,54;http://shop.cpu.com.tw/product/47428/info/;2
X4;2.54;Connector Male terminal 180D, 5pin,THT 2,54;http://shop.cpu.com.tw/product/6889/info/;1
X5;2mm;Connector Male 3pin 180D, THT 2mm;http://shop.cpu.com.tw/product/16066/info/;1
X6,X7;M4 screw;Screw terminal M4, THT 12x10;http://shop.cpu.com.tw/product/4730/info/;2
X8;2.54;Connector 2pin 3A 180D terminal, THT 2,54;http://shop.cpu.com.tw/product/14318/info/;1
F1;5x20;Fuse holder 5x20, THT;http://shop.cpu.com.tw/product/19118/info/;1
S1-S4;B3F-1050;Switch NO THT 6x6x7.4;http://shop.cpu.com.tw/product/47225/info/;4
BZ1;Buzzer;Buzzer,3-15V 5mA 4.3Kc 85dB, THT 13.8mm ;http://shop.cpu.com.tw/product/15740/info/;1
